月,掲載誌,論文タイトル,著者名,delete
1,"分子シミュレーション研究会会誌「アンサンブル」, 25(1), 2023, p,59-66",全原子モデルに立脚したボトムアップ型粗視化モデルを用いたポリマーメルトの粘弾性予測,吉元健治、北畑正弘,
1,"Chirality, 2023, 35, 147-154.",Circular depolarization spectroscopy: A new tool to study photo-imprinting of chirality,"Chidambar Kulkarni,
Hirotoshi Sakaino,
Ghislaine Vantomme,
Stefan C. J. Meskers",
3,"日本シミュレーション学会誌「シミュレーション」, 42(1), 2023",分子シミュレーションを基軸とした高分子材料のデジタル設計,北畑正弘,
3,Polymer 269 (2023) 125761,Crystallization and melting kinetics of low tacticity polypropylene in relation to preformed nuclei and uncrystallizable defects,"Yoshitomo Furushima, Christoph Schick, Akihiko Toda,Hideaki Takahashi,Toshiumi Tatsuki, Satoshi Fujiwara, Kazuma Okada, Masatoshi Ohkura",
3,第57回日本水環境学会年会講演要旨集,逆浸透膜のバイオファウリング機構解明,花田茂久、志村俊、SR Suwarno、AG Fane,
3,第71回プラスチックフィルム研究会講座　講演要旨集　水素分離用ポリアミド膜モジュール,水素分離用ポリアミド膜モジュール,広沢洋帆,
3,"資源・素材学会 2023年度 春季大会 予稿集,3K0307-16-09",ナノろ過膜を用いたリチウム回収プロセスの開発,宮本竜馬、吉崎友哉、征矢恭典、青山滋、峯岸進一,
3,"Nonwovens Review Vol. 33, No. 4",親水性が長時間持続する、肌に優しいスパンボンド不織布,梶原健太郎,
4,溶融紡糸技術の基礎と高性能・高機能化,複合紡糸技術による高機能繊維素材の開発,R&D支援センター,
4,Polymer 269(2023) 125761,Crystallization and melting kinetics of low tacticity PP in relation to preformed nuclei and uncrystallizable defects,"Yoshitomo Furushima
Christoph Schick
Akihiko Toda
Hideaki Takahashi
Toshiumi Tatsuki
Satoshi Fujiwara
Kazuma Okada
Masatoshi Ohkura",
4,Cancer Research Communications (2023) 3(4): 640–658,"Identification of Membrane-expressed CAPRIN-1 as a Novel and Universal Cancer Target, and Generation of a Therapeutic Anti-CAPRIN-1 Antibody TRK-950","Fumiyoshi Okano,
Takanori Saito,
Yoshitaka Minamida,
Shinichi Kobayashi,
Takayoshi Ido,
Yasushi Miyauchi,
Ukei Wasai,
Daisuke Akazawa,
Masahiko Kume,
Masaki Ishibashi,
Ke Jiang,
Alexandra Aicher,
Christopher Heeschen,
Tetsu Yonehara",
5,"Journal of the American chemical society, 145 (22), 12244-12254, 2023",Wavy graphene-like network forming during pyrolysis of polyacrylonitrile into carbon fiber,"Fumiyoshi Okano,
Takanori Saito,
Yoshitaka Minamida,
Shinichi Kobayashi,
Takayoshi Ido,
Yasushi Miyauchi,
Ukei Wasai,
Toru Ishikawa,
Fumihiko Tanaka,
Kosuke Kurushima,
Akira Yasuhara,
Ryusuke Sagawa,
Tatsuya Fujita,
Ryohei Yonesaki,
Katsuhiko Iseki,
Takayuki Nakamuro,
Koji Harano,
Eiichi Nakamura",
5,高分子学会（学会誌）2023年5月号 Vol. 72,水の運動性に着目した抗血栓性ポリマーの設計と人工腎臓の工業化,"上野良之、
藤田雅規、
菅谷博之、
馬場剛史、
中田克",
6,Journal of Photopolymer Science and Technology,High Resolution and Low Stress Photo-Definable Polyimide,"Sakai, T.,
Okuda, Y.,
Kato, K.,
Matsumura, K.,
Araki, H.",
6,成形加工学会誌6月号,LIB用セパレータの技術動向,佃明光,
7,生物工学会誌　バイオミディア,”重イオンビーム”どうでしょう？,"東レ株式会社　加川雄介、野口拓也

量子科学技術研究開発機構　量子医科学研究所　下川卓志",
8,"Advanced Composite Materials 33 (2), 269-289, 2024",A comprehensive review of the elastic constants of carbon fibers: implications for design and manufacturing of high-performance composite materials,"Fumihiko Tanaka,
Toru Ishikawa,
Masakazu Tane",
8,石油学会誌（ペトロテック）,多孔質炭素繊維を用いた革新CO2分離膜,柿山創、三原崇晃,
8,Journal of Applied Polymer Science (2023) e54556,Determination of mass fraction in PP/PE blend using fast scanning calorimetry,"Yoshitomo Furushima
Hirota Nobuhiro
Masaru Nakada
Akihiro Masuda
Kazuma Okada
Masatoshi Ohkura
Christoph Schick",
9,2023年　電子情報通信学会　ソサエティ大会　予稿集　B-4-21,薄膜･軽量なミリ波対応電磁波吸収シート,"遠山秀旦、
松居久登、
古川仁美、
合田亘",
11,Journal of Sol-Gel Science and Technology,Characteristics of transparent cured film patterns prepared from sol-gel-derived positive-type photosensitive oligomeric silsesquioxanes with random structure,"Suwa, M.,
Fujii, M.,
Kamogawa, M.,
Kozuka, H.",
12,MATERIAL STAGE 2023年12月号、23巻、9号、36-40,マテリアルズ・インフォマティクスによるエンプラ材料開発,"野村　圭一郎、
小柳 昂平、
向井 孝次、
増田 友秀",
12,機能材料 2023 年12 月号　Vol.43　No.12(2023)　26-31,PBT/PC共連続型高性能ナノアロイの開発と応用,小林　定之,
